Time,Eps,-Eps,Error,Actuator-Eps,Actuator,Actuator+Eps,Sensor,Sinus,Cosinus,Droite,Angle,Square
2.099,5.0,-5.0,-0.278806614373,0.943546945928,5.94354694593,10.9435469459,5.62500229096,0.0348994967,-0.999390827,-162,178,26244
2.11,5.0,-5.0,-0.296691464714,1.54089821526,6.54089821526,11.5408982153,6.24023841064,0.0174524064,-0.9998476952,-161,179,25921
2.123,5.0,-5.0,0.37066582852,2.73560075394,7.1382494846,12.7356007539,6.76758365608,1.22464679914735E-016,-1,-160,180,25600
2.134,5.0,-5.0,0.352794638557,3.33295202327,7.73560075394,13.3329520233,7.99804223506,-0.0174524064,-0.9998476952,-159,181,25281
2.146,5.0,-5.0,0.334909788215,3.93030329261,8.93030329261,13.9303032926,8.5253874805,-0.0348994967,-0.999390827,-158,182,24964
2.158,5.0,-5.0,-0.210320307565,4.52765456195,9.52765456195,14.5276545619,9.14062360017,-0.0523359562,-0.9986295348,-157,183,24649
2.17,5.0,-5.0,0.36914611143,5.72235710062,10.1250058313,15.1250058313,9.75585971985,-0.0697564737,-0.9975640503,-156,184,24336
2.181,5.0,-5.0,0.527043009568,6.31970836996,10.7223571006,16.31970837,10.1953140911,-0.0871557427,-0.9961946981,-155,185,24025
2.193,5.0,-5.0,0.509158159226,6.91705963929,11.31970837,16.9170596393,11.4257863304,-0.1045284633,-0.9945218954,-154,186,23716
2.205,5.0,-5.0,0.491273308884,7.51441090863,12.5144109086,17.5144109086,12.0410224501,-0.1218693434,-0.9925461516,-153,187,23409
2.216,5.0,-5.0,0.473388458543,8.1714973049,13.1714973049,18.1714973049,12.6562449094,-0.139173101,-0.9902680687,-152,188,23104
